Length,Base_Prime,Primitive_Root,Shift,Initial_PSL,Optimized_PSL,Improvement
2,ERROR,ERROR,ERROR,ERROR,ERROR,0
3,3,2,0,1,1,0
4,5,2,1,0,0,0
5,5,2,1,3,1,2
6,7,3,1,6,2,4
7,7,5,1,5,1,4
8,11,2,2,4,4,0
9,11,2,2,3,3,0
10,11,7,2,2,2,0
11,11,2,2,5,3,2
12,13,2,3,4,4,0
13,13,6,3,3,3,0
14,17,3,3,6,2,4
15,17,5,3,5,3,2
16,17,5,4,4,4,0
17,17,5,4,3,3,0
18,19,13,4,6,2,4
19,19,3,4,3,3,0
20,23,5,5,4,4,0
21,23,5,5,7,5,2
22,23,15,5,6,6,0
23,23,17,5,7,5,2
24,29,14,6,4,4,0
25,29,15,6,7,3,4
26,29,15,6,6,6,0
27,29,15,6,5,5,0
28,29,14,7,8,4,4
29,29,14,7,3,3,0
30,31,3,7,10,6,4
31,31,3,7,7,5,2
32,37,5,8,8,4,4
33,37,2,8,7,5,2
34,37,13,8,10,6,4
35,37,13,8,9,5,4
36,37,32,9,8,4,4
37,37,18,9,3,3,0
38,41,7,9,10,6,4
39,41,13,9,9,7,2
40,41,13,10,8,8,0
41,41,11,10,11,7,4
42,43,3,10,10,6,4
43,43,3,10,9,7,2
44,47,13,11,12,8,4
45,47,31,11,11,11,0
46,47,31,11,10,6,4
47,47,15,11,9,7,2
48,53,12,12,12,8,4
49,53,12,12,11,9,2
50,53,35,12,10,10,0
51,53,33,12,11,9,2
52,53,19,13,12,8,4
53,53,26,13,3,3,0
54,59,33,13,10,6,4
56,59,2,14,16,8,8
57,59,33,14,9,9,0
58,59,33,14,10,10,0
59,59,33,14,11,9,2
60,61,2,15,16,8,8
61,61,30,15,3,3,0
62,67,11,15,14,10,4
63,67,51,15,11,11,0
64,67,51,16,12,8,4
65,67,61,16,11,11,0
66,67,51,16,14,10,4
67,67,31,16,13,9,4
68,71,7,17,16,12,4
69,71,7,17,13,9,4
70,71,7,17,14,10,4
71,71,7,17,7,7,0
72,73,45,18,12,8,4
73,73,45,18,7,7,0
74,79,59,18,14,14,0
75,79,75,18,13,9,4
76,79,75,19,12,12,0
84,89,3,21,16,12,4
85,89,3,21,15,11,4
86,89,15,21,18,14,4
87,89,61,21,15,13,2
88,89,33,22,12,12,0
89,89,66,22,3,3,0
90,97,21,22,14,10,4
91,97,84,22,15,13,2
93,97,17,23,17,13,4
94,97,21,23,14,14,0
95,97,39,23,19,13,6
96,97,5,24,20,12,8
97,97,21,24,11,11,0
98,101,15,24,18,14,4
102,103,45,25,14,14,0
103,103,85,25,9,9,0
104,107,17,26,20,16,4
105,107,55,26,17,15,2
106,107,31,26,18,14,4
107,107,63,26,17,13,4
108,109,11,27,20,16,4
109,109,57,27,13,13,0
110,113,80,27,18,14,4
120,127,7,30,20,20,0
121,127,3,30,23,17,6
122,127,3,30,22,18,4
123,127,91,30,17,17,0
124,127,65,31,20,16,4
125,127,45,31,21,17,4
126,127,45,31,18,14,4
127,127,45,31,9,9,0
128,131,26,32,24,16,8
129,131,26,32,21,21,0
130,131,67,32,22,18,4
131,131,26,32,15,15,0
132,137,5,33,24,16,8
140,149,51,35,24,16,8
141,149,55,35,23,19,4
