Length,Base_Prime,Initial_PSL,Optimized_PSL,Improvement
2,2,0,0,0
3,3,1,1,0
4,5,4,0,4
5,5,3,1,2
6,7,2,2,0
7,7,1,1,0
8,11,4,4,0
9,11,3,3,0
10,11,6,2,4
11,11,1,1,0
12,13,4,4,0
13,13,3,3,0
14,17,6,2,4
15,17,5,3,2
16,17,8,4,4
17,17,3,3,0
18,19,6,2,4
19,19,1,1,0
20,23,4,4,0
21,23,5,3,2
22,23,10,2,8
23,23,1,1,0
24,29,8,4,4
25,29,7,5,2
26,29,10,6,4
27,29,9,5,4
28,29,12,4,8
29,29,3,3,0
30,31,10,6,4
31,31,1,1,0
32,37,12,4,8
33,37,11,5,6
34,37,6,6,0
35,37,11,5,6
36,37,12,4,8
37,37,3,3,0
38,41,10,6,4
39,41,15,5,10
40,41,8,4,4
41,41,3,3,0
42,43,14,6,8
43,43,1,1,0
44,47,12,4,8
45,47,11,7,4
46,47,10,6,4
48,53,12,4,8
49,53,11,7,4
51,53,13,5,8
52,53,20,8,12
53,53,3,3,0
56,59,12,8,4
57,59,11,7,4
58,59,14,6,8
59,59,1,1,0
60,61,16,8,8
61,61,3,3,0
62,67,14,6,8
63,67,15,9,6
64,67,16,8,8
65,67,15,7,8
66,67,14,6,8
67,67,1,1,0
68,71,16,8,8
69,71,15,9,6
70,71,18,6,12
71,71,1,1,0
72,73,16,8,8
84,89,20,8,12
85,89,19,9,10
86,89,22,10,12
87,89,21,9,12
88,89,16,8,8
93,97,21,9,12
94,97,18,10,8
95,97,19,11,8
96,97,24,8,16
97,97,3,3,0
102,103,18,6,12
103,103,1,1,0
104,107,28,8,20
105,107,25,9,16
106,107,26,10,16
107,107,1,1,0
108,109,24,8,16
109,109,3,3,0
120,127,20,8,12
121,127,25,9,16
122,127,22,10,12
123,127,25,11,14
124,127,24,12,12
125,127,21,11,10
126,127,26,10,16
127,127,1,1,0
128,131,28,12,16
129,131,19,11,8
130,131,22,10,12
131,131,1,1,0
140,149,32,12,20
141,149,27,9,18
142,149,30,14,16
155,157,29,13,16
156,157,20,12,8
157,157,3,3,0
168,173,36,12,24
169,173,29,13,16
170,173,30,14,16
171,173,27,13,14
186,191,30,14,16
187,191,29,13,16
188,191,28,16,12
189,191,29,13,16
204,211,32,12,20
205,211,31,15,16
210,211,30,14,16
211,211,1,1,0
212,223,40,16,24
213,223,33,13,20
217,223,27,15,12
218,223,38,14,24
219,223,29,13,16
220,223,32,16,16
248,251,40,16,24
249,251,39,17,22
250,251,38,14,24
252,257,36,16,20
253,257,35,17,18
254,257,38,14,24
255,257,35,15,20
256,257,32,16,16
257,257,3,3,0
258,263,30,14,16
310,311,38,18,20
311,311,1,1,0
315,317,41,17,24
316,317,36,16,20
340,347,44,16,28
341,347,49,17,32
342,347,46,18,28
372,373,44,20,24
373,373,3,3,0
374,379,46,18,28
381,383,51,19,32
382,383,58,18,40
383,383,1,1,0
420,421,44,20,24
421,421,3,3,0
434,439,46,22,24
435,439,49,21,28
436,439,48,20,28
465,467,65,21,44
466,467,62,22,40
467,467,1,1,0
504,509,56,24,32
505,509,51,23,28
508,509,52,24,28
509,509,3,3,0
510,521,58,22,36
511,521,51,21,30
512,521,48,20,28
513,521,47,23,24
651,653,65,25,40
652,653,56,24,32
762,769,62,30,32
763,769,67,29,38
868,877,84,32,52
869,877,79,31,48
889,907,65,29,36
890,907,78,30,48
930,937,78,30,48
931,937,73,31,42
1020,1021,92,32,60
1021,1021,3,3,0
1022,1031,90,34,56
1023,1031,85,33,52
1024,1031,96,32,64
