Length,Base_Prime,Initial_PSL,Optimized_PSL,Improvement
2,2,0,0,0
3,3,1,1,0
4,5,4,0,4
5,5,3,1,2
6,7,2,2,0
7,7,1,1,0
8,11,4,4,0
9,11,3,3,0
10,11,6,2,4
11,11,1,1,0
12,13,4,4,0
13,13,3,3,0
14,17,6,2,4
15,17,5,3,2
16,17,8,4,4
17,17,3,3,0
18,19,6,2,4
19,19,1,1,0
20,23,4,4,0
21,23,5,3,2
22,23,10,6,4
23,23,1,1,0
24,29,8,4,4
25,29,7,5,2
26,29,10,6,4
27,29,9,5,4
28,29,12,8,4
29,29,3,3,0
30,31,10,6,4
31,31,1,1,0
32,37,12,4,8
33,37,11,7,4
34,37,6,6,0
35,37,11,9,2
36,37,12,8,4
37,37,3,3,0
38,41,10,6,4
39,41,15,7,8
40,41,8,8,0
41,41,3,3,0
42,43,14,10,4
43,43,1,1,0
44,47,12,8,4
45,47,11,9,2
46,47,10,6,4
47,47,1,1,0
48,53,12,8,4
49,53,11,9,2
50,53,14,10,4
51,53,13,7,6
52,53,20,8,12
53,53,3,3,0
54,59,18,6,12
56,59,12,8,4
57,59,11,7,4
58,59,14,10,4
59,59,1,1,0
60,61,16,12,4
61,61,3,3,0
62,67,14,10,4
63,67,15,9,6
64,67,16,8,8
65,67,15,11,4
66,67,14,10,4
67,67,1,1,0
68,71,16,12,4
69,71,15,11,4
70,71,18,10,8
71,71,1,1,0
72,73,16,12,4
73,73,3,3,0
74,79,18,10,8
75,79,21,9,12
76,79,24,12,12
84,89,20,12,8
85,89,19,13,6
86,89,22,14,8
87,89,21,13,8
88,89,16,16,0
89,89,3,3,0
90,97,18,14,4
91,97,17,15,2
93,97,21,13,8
94,97,18,14,4
95,97,19,13,6
96,97,24,12,12
97,97,3,3,0
98,101,22,14,8
102,103,18,14,4
103,103,1,1,0
104,107,28,16,12
105,107,25,13,12
106,107,26,14,12
107,107,1,1,0
108,109,24,16,8
109,109,3,3,0
110,113,22,18,4
120,127,20,16,4
121,127,25,19,6
122,127,22,14,8
123,127,25,13,12
124,127,24,16,8
125,127,21,17,4
126,127,26,18,8
127,127,1,1,0
128,131,28,20,8
129,131,19,19,0
130,131,22,18,4
131,131,1,1,0
132,137,24,20,4
140,149,32,20,12
141,149,27,19,8
142,149,30,18,12
143,149,29,17,12
146,149,30,22,8
147,149,33,21,12
148,149,28,20,8
155,157,29,19,10
156,157,20,20,0
157,157,3,3,0
158,163,22,18,4
168,173,36,20,16
169,173,29,25,4
170,173,30,22,8
171,173,27,21,6
172,173,28,20,8
186,191,30,22,8
187,191,29,21,8
188,191,28,24,4
189,191,29,23,6
190,191,26,22,4
204,211,32,28,4
205,211,31,27,4
206,211,26,22,4
210,211,30,26,4
211,211,1,1,0
212,223,40,28,12
213,223,33,21,12
214,223,30,22,8
217,223,27,25,2
218,223,38,26,12
219,223,29,29,0
220,223,32,28,4
221,223,37,27,10
248,251,40,28,12
249,251,39,27,12
250,251,38,30,8
251,251,1,1,0
252,257,36,28,8
253,257,35,27,8
254,257,38,30,8
255,257,35,29,6
256,257,32,28,4
257,257,3,3,0
258,263,30,30,0
259,263,37,29,8
292,293,40,32,8
293,293,3,3,0
310,311,38,26,12
311,311,1,1,0
312,313,48,36,12
315,317,41,31,10
316,317,36,32,4
317,317,3,3,0
340,347,44,36,8
341,347,49,35,14
342,347,46,34,12
343,347,41,29,12
357,359,43,37,6
358,359,42,38,4
372,373,44,36,8
373,373,3,3,0
374,379,46,42,4
375,379,49,35,14
381,383,51,43,8
382,383,58,34,24
383,383,1,1,0
384,389,48,40,8
420,421,44,44,0
421,421,3,3,0
422,431,54,38,16
423,431,47,37,10
434,439,46,42,4
435,439,49,41,8
436,439,48,40,8
437,439,51,43,8
465,467,65,43,22
466,467,62,38,24
467,467,1,1,0
468,479,52,44,8
504,509,56,48,8
505,509,51,45,6
506,509,50,42,8
508,509,52,44,8
509,509,3,3,0
510,521,58,42,16
511,521,51,45,6
512,521,48,44,4
513,521,47,43,4
514,521,54,50,4
595,599,61,45,16
596,599,52,52,0
620,631,60,52,8
621,631,63,51,12
630,631,58,54,4
631,631,1,1,0
635,641,59,55,4
636,641,72,60,12
651,653,65,51,14
652,653,56,48,8
653,653,3,3,0
682,683,66,50,16
683,683,1,1,0
744,751,68,64,4
745,751,75,63,12
762,769,62,62,0
763,769,67,59,8
764,769,76,60,16
819,821,79,63,16
820,821,96,64,32
840,853,76,68,8
841,853,75,63,12
868,877,84,60,24
869,877,79,67,12
870,877,82,66,16
889,907,65,59,6
890,907,78,70,8
891,907,73,65,8
930,937,78,62,16
931,937,73,69,4
932,937,96,72,24
1016,1019,80,68,12
1017,1019,87,73,14
1020,1021,92,76,16
1021,1021,3,3,0
1022,1031,90,74,16
1023,1031,85,75,10
1024,1031,96,80,16
1025,1031,83,71,12
1302,1303,106,90,16
1303,1303,1,1,0
1524,1531,120,104,16
1525,1531,115,95,20
1533,1543,119,95,24
1534,1543,102,94,8
1778,1783,114,106,8
1779,1783,111,103,8
1785,1787,123,115,8
1786,1787,134,102,32
1860,1861,148,92,56
1861,1861,3,3,0
1905,1907,139,115,24
1906,1907,150,118,32
1953,1973,107,99,8
1954,1973,106,106,0
2044,2053,120,100,20
2045,2053,133,113,20
2046,2053,122,102,20
2047,2053,137,115,22
2048,2053,148,128,20
