Length,Base_Prime,Initial_PSL,Optimized_PSL,Improvement
2,2,0,0,0
3,3,1,1,0
4,5,4,0,4
5,5,3,1,2
6,7,2,2,0
7,7,1,1,0
8,11,4,4,0
9,11,3,3,0
10,11,6,2,4
11,11,1,1,0
12,13,4,4,0
13,13,3,3,0
14,17,6,2,4
15,17,5,3,2
16,17,8,4,4
17,17,3,3,0
18,19,6,2,4
19,19,1,1,0
20,23,4,4,0
21,23,5,3,2
22,23,10,2,8
23,23,1,1,0
24,29,8,4,4
25,29,7,3,4
26,29,10,2,8
27,29,9,5,4
28,29,12,4,8
29,29,3,3,0
30,31,10,6,4
31,31,1,1,0
32,37,12,4,8
33,37,11,5,6
34,37,6,6,0
35,37,11,7,4
36,37,12,8,4
37,37,3,3,0
38,41,10,6,4
39,41,15,5,10
40,41,8,8,0
41,41,3,3,0
42,43,14,6,8
43,43,1,1,0
44,47,12,8,4
45,47,11,7,4
46,47,10,6,4
47,47,1,1,0
48,53,12,8,4
49,53,11,7,4
50,53,14,10,4
51,53,13,7,6
52,53,20,8,12
53,53,3,3,0
54,59,18,10,8
56,59,12,8,4
57,59,11,9,2
58,59,14,6,8
59,59,1,1,0
60,61,16,8,8
61,61,3,3,0
62,67,14,10,4
63,67,15,9,6
64,67,16,8,8
65,67,15,11,4
66,67,14,10,4
67,67,1,1,0
68,71,16,8,8
69,71,15,9,6
70,71,18,10,8
71,71,1,1,0
72,73,16,12,4
73,73,3,3,0
74,79,18,10,8
75,79,21,13,8
76,79,24,12,12
84,89,20,12,8
85,89,19,13,6
86,89,22,14,8
87,89,21,13,8
88,89,16,12,4
89,89,3,3,0
90,97,18,14,4
91,97,17,11,6
93,97,21,13,8
94,97,18,14,4
95,97,19,13,6
96,97,24,16,8
97,97,3,3,0
98,101,22,14,8
102,103,18,14,4
103,103,1,1,0
104,107,28,12,16
105,107,25,15,10
106,107,26,14,12
107,107,1,1,0
108,109,24,16,8
109,109,3,3,0
110,113,22,14,8
120,127,20,16,4
121,127,25,17,8
122,127,22,18,4
123,127,25,17,8
124,127,24,16,8
125,127,21,15,6
126,127,26,18,8
127,127,1,1,0
128,131,28,16,12
129,131,19,15,4
130,131,22,18,4
131,131,1,1,0
132,137,24,16,8
140,149,32,16,16
141,149,27,19,8
142,149,30,18,12
143,149,29,19,10
146,149,30,18,12
147,149,33,19,14
148,149,28,20,8
155,157,29,19,10
156,157,20,20,0
157,157,3,3,0
158,163,22,18,4
168,173,36,20,16
169,173,29,21,8
170,173,30,22,8
171,173,27,21,6
172,173,28,20,8
186,191,30,22,8
187,191,29,23,6
188,191,28,20,8
189,191,29,21,8
190,191,26,22,4
204,211,32,20,12
205,211,31,23,8
206,211,26,26,0
210,211,30,26,4
211,211,1,1,0
212,223,40,24,16
213,223,33,25,8
214,223,30,26,4
217,223,27,23,4
218,223,38,26,12
219,223,29,27,2
220,223,32,24,8
221,223,37,25,12
248,251,40,28,12
249,251,39,25,14
250,251,38,26,12
251,251,1,1,0
252,257,36,28,8
253,257,35,29,6
254,257,38,26,12
255,257,35,27,8
256,257,32,28,4
257,257,3,3,0
258,263,30,26,4
259,263,37,27,10
292,293,40,32,8
293,293,3,3,0
310,311,38,30,8
311,311,1,1,0
312,313,48,32,16
315,317,41,31,10
316,317,36,36,0
317,317,3,3,0
340,347,44,36,8
341,347,49,35,14
342,347,46,34,12
343,347,41,33,8
357,359,43,35,8
358,359,42,34,8
372,373,44,36,8
373,373,3,3,0
374,379,46,34,12
375,379,49,35,14
381,383,51,35,16
382,383,58,38,20
383,383,1,1,0
384,389,48,36,12
420,421,44,40,4
421,421,3,3,0
422,431,54,38,16
423,431,47,39,8
434,439,46,42,4
435,439,49,39,10
436,439,48,40,8
437,439,51,41,10
465,467,65,43,22
466,467,62,42,20
467,467,1,1,0
468,479,52,44,8
504,509,56,44,12
505,509,51,43,8
506,509,50,42,8
508,509,52,44,8
509,509,3,3,0
510,521,58,42,16
511,521,51,43,8
512,521,48,44,4
513,521,47,45,2
514,521,54,42,12
595,599,61,47,14
596,599,52,48,4
620,631,60,48,12
621,631,63,49,14
630,631,58,50,8
631,631,1,1,0
635,641,59,53,6
636,641,72,48,24
651,653,65,51,14
652,653,56,52,4
653,653,3,3,0
682,683,66,50,16
683,683,1,1,0
744,751,68,56,12
745,751,75,55,20
762,769,62,54,8
763,769,67,55,12
764,769,76,60,16
819,821,79,59,20
820,821,96,60,36
840,853,76,60,16
841,853,75,59,16
868,877,84,60,24
869,877,79,61,18
870,877,82,58,24
889,907,65,61,4
890,907,78,62,16
891,907,73,61,12
930,937,78,66,12
931,937,73,65,8
932,937,96,64,32
1016,1019,80,68,12
1017,1019,87,69,18
1020,1021,92,68,24
1021,1021,3,3,0
1022,1031,90,66,24
1023,1031,85,67,18
1024,1031,96,64,32
1025,1031,83,69,14
1302,1303,106,78,28
1303,1303,1,1,0
1524,1531,120,92,28
1525,1531,115,89,26
1533,1543,119,89,30
1534,1543,102,86,16
1778,1783,114,98,16
1779,1783,111,97,14
1785,1787,123,97,26
1786,1787,134,98,36
1860,1861,148,100,48
1861,1861,3,3,0
1905,1907,139,99,40
1906,1907,150,106,44
1953,1973,107,103,4
1954,1973,106,106,0
2044,2053,120,108,12
2045,2053,133,107,26
2046,2053,122,110,12
2047,2053,137,107,30
2048,2053,148,104,44
