Length,Base_Prime,Initial_PSL,Optimized_PSL,Improvement
2,2,0,0,0
3,3,1,1,0
4,5,4,0,4
5,5,3,3,0
6,7,2,2,0
7,7,1,1,0
8,11,4,4,0
9,11,3,3,0
10,11,6,6,0
11,11,1,1,0
12,13,4,4,0
13,13,3,3,0
14,17,6,2,4
15,17,5,3,2
16,17,8,4,4
17,17,3,3,0
18,19,6,2,4
19,19,1,1,0
20,23,4,4,0
21,23,5,3,2
22,23,10,6,4
23,23,1,1,0
24,29,8,4,4
25,29,7,5,2
26,29,10,6,4
27,29,9,5,4
28,29,12,4,8
29,29,3,3,0
30,31,10,6,4
31,31,1,1,0
32,37,12,4,8
33,37,11,5,6
34,37,6,6,0
35,37,11,5,6
36,37,12,4,8
37,37,3,3,0
38,41,10,6,4
39,41,15,7,8
40,41,8,4,4
41,41,3,3,0
42,43,14,6,8
43,43,1,1,0
44,47,12,8,4
45,47,11,7,4
46,47,10,6,4
47,47,1,1,0
48,53,12,4,8
49,53,11,7,4
50,53,14,6,8
51,53,13,5,8
52,53,20,8,12
53,53,3,3,0
54,59,18,10,8
56,59,12,8,4
57,59,11,7,4
58,59,14,6,8
59,59,1,1,0
60,61,16,8,8
61,61,3,3,0
62,67,14,6,8
63,67,15,7,8
64,67,16,8,8
65,67,15,7,8
66,67,14,6,8
67,67,1,1,0
68,71,16,8,8
69,71,15,11,4
70,71,18,10,8
71,71,1,1,0
72,73,16,4,12
73,73,3,3,0
74,79,18,10,8
75,79,21,7,14
76,79,24,8,16
84,89,20,12,8
85,89,19,9,10
86,89,22,10,12
87,89,21,17,4
88,89,16,8,8
89,89,3,3,0
90,97,18,10,8
91,97,17,9,8
93,97,21,13,8
94,97,18,14,4
95,97,19,13,6
96,97,24,16,8
97,97,3,3,0
98,101,22,14,8
102,103,18,10,8
103,103,1,1,0
104,107,28,12,16
105,107,25,11,14
106,107,26,14,12
107,107,1,1,0
108,109,24,8,16
109,109,3,3,0
110,113,22,14,8
120,127,20,8,12
121,127,25,15,10
122,127,22,14,8
123,127,25,9,16
124,127,24,12,12
125,127,21,11,10
126,127,26,10,16
127,127,1,1,0
128,131,28,16,12
129,131,19,13,6
130,131,22,10,12
131,131,1,1,0
132,137,24,12,12
140,149,32,12,20
141,149,27,11,16
142,149,30,10,20
143,149,29,15,14
146,149,30,14,16
147,149,33,17,16
148,149,28,12,16
155,157,29,13,16
156,157,20,12,8
157,157,3,3,0
158,163,22,14,8
168,173,36,16,20
169,173,29,17,12
170,173,30,14,16
171,173,27,17,10
172,173,28,16,12
186,191,30,14,16
187,191,29,17,12
188,191,28,20,8
189,191,29,19,10
190,191,26,14,12
204,211,32,16,16
205,211,31,19,12
206,211,26,14,12
210,211,30,18,12
211,211,1,1,0
212,223,40,20,20
213,223,33,19,14
214,223,30,18,12
217,223,27,21,6
218,223,38,18,20
219,223,29,19,10
220,223,32,20,12
221,223,37,23,14
248,251,40,24,16
249,251,39,27,12
250,251,38,22,16
251,251,1,1,0
252,257,36,20,16
253,257,35,29,6
254,257,38,26,12
255,257,35,21,14
256,257,32,16,16
257,257,3,3,0
258,263,30,18,12
259,263,37,21,16
292,293,40,24,16
293,293,3,3,0
310,311,38,22,16
311,311,1,1,0
312,313,48,24,24
315,317,41,23,18
316,317,36,24,12
317,317,3,3,0
340,347,44,28,16
341,347,49,25,24
342,347,46,22,24
343,347,41,23,18
357,359,43,27,16
358,359,42,22,20
372,373,44,32,12
373,373,3,3,0
374,379,46,26,20
375,379,49,25,24
381,383,51,27,24
382,383,58,30,28
383,383,1,1,0
384,389,48,48,0
420,421,44,32,12
421,421,3,3,0
422,431,54,26,28
423,431,47,27,20
434,439,46,26,20
435,439,49,31,18
436,439,48,36,12
437,439,51,27,24
465,467,65,33,32
466,467,62,34,28
467,467,1,1,0
468,479,52,36,16
504,509,56,32,24
505,509,51,33,18
506,509,50,34,16
508,509,52,32,20
509,509,3,3,0
510,521,58,38,20
511,521,51,37,14
512,521,48,36,12
513,521,47,33,14
514,521,54,34,20
595,599,61,41,20
596,599,52,36,16
620,631,60,36,24
621,631,63,45,18
630,631,58,42,16
631,631,1,1,0
635,641,59,37,22
636,641,72,48,24
651,653,65,39,26
652,653,56,44,12
653,653,3,3,0
682,683,66,42,24
683,683,1,1,0
744,751,68,52,16
745,751,75,45,30
762,769,62,42,20
763,769,67,63,4
764,769,76,52,24
819,821,79,45,34
820,821,96,52,44
840,853,76,48,28
841,853,75,47,28
868,877,84,48,36
869,877,79,43,36
870,877,82,42,40
889,907,65,49,16
890,907,78,42,36
891,907,73,45,28
930,937,78,46,32
931,937,73,49,24
932,937,96,44,52
1016,1019,80,60,20
1017,1019,87,51,36
1020,1021,92,60,32
1021,1021,3,3,0
1022,1031,90,58,32
1023,1031,85,51,34
1024,1031,96,48,48
1025,1031,83,65,18
1302,1303,106,62,44
1303,1303,1,1,0
1524,1531,120,84,36
1525,1531,115,71,44
1533,1543,119,75,44
1534,1543,102,66,36
1778,1783,114,70,44
1779,1783,111,79,32
1785,1787,123,63,60
1786,1787,134,78,56
1860,1861,148,76,72
1861,1861,3,3,0
1905,1907,139,89,50
1906,1907,150,82,68
1953,1973,107,69,38
1954,1973,106,70,36
2044,2053,120,80,40
2045,2053,133,73,60
2046,2053,122,82,40
2047,2053,137,93,44
2048,2053,148,76,72
