Length,Base_Prime,Alpha,Shift,Initial_PSL,Optimized_PSL,Improvement
3,3,2,0,1,1,0
4,5,2,1,0,0,0
5,5,2,1,3,1,2
6,7,3,1,2,2,0
7,7,3,1,5,1,4
8,11,2,2,4,4,0
9,11,2,2,3,3,0
10,11,2,2,2,2,0
11,11,2,2,5,3,2
12,13,2,3,4,4,0
13,13,2,3,5,3,2
14,17,5,3,2,2,0
15,17,5,3,3,3,0
16,17,3,4,4,4,0
17,17,5,4,3,3,0
18,19,2,4,2,2,0
19,19,2,4,5,5,0
20,23,19,5,4,4,0
21,23,10,5,5,5,0
22,23,5,5,2,2,0
23,23,7,5,5,5,0
24,29,2,6,8,4,4
25,29,3,6,3,3,0
26,29,2,6,6,6,0
27,29,2,6,5,5,0
28,29,2,7,4,4,0
29,29,8,7,5,5,0
30,31,3,7,2,2,0
31,31,11,7,5,5,0
32,37,2,8,8,4,4
33,37,20,8,7,5,2
34,37,5,8,6,6,0
35,37,22,8,7,5,2
36,37,2,9,4,4,0
37,37,5,9,7,5,2
38,41,6,9,6,6,0
39,41,6,9,5,5,0
40,41,6,10,4,4,0
41,41,6,10,5,5,0
42,43,3,10,2,2,0
43,43,12,10,7,5,2
44,47,5,11,8,4,4
45,47,5,11,7,5,2
46,47,5,11,2,2,0
47,47,31,11,7,5,2
48,53,5,12,8,8,0
49,53,8,12,7,7,0
50,53,5,12,10,6,4
51,53,3,12,9,7,2
52,53,2,13,4,4,0
53,53,32,13,7,7,0
54,59,2,13,10,6,4
56,59,13,14,8,4,4
57,59,50,14,7,5,2
58,59,2,14,2,2,0
59,59,10,14,9,5,4
60,61,2,15,4,4,0
61,61,10,15,9,7,2
62,67,12,15,10,6,4
63,67,7,15,9,9,0
64,67,13,16,8,8,0
65,67,7,16,11,7,4
66,67,2,16,2,2,0
67,67,7,16,9,7,2
68,71,11,17,12,8,4
69,71,63,17,7,7,0
70,71,7,17,2,2,0
71,71,7,17,9,7,2
72,73,5,18,4,4,0
73,73,14,18,11,7,4
74,79,3,18,14,6,8
75,79,3,18,9,7,2
76,79,6,19,12,8,4
84,89,13,21,12,8,4
85,89,27,21,9,7,2
86,89,27,21,10,10,0
87,89,27,21,9,9,0
88,89,3,22,4,4,0
89,89,27,22,9,7,2
90,97,59,22,10,10,0
91,97,29,22,11,9,2
93,97,29,23,11,9,2
94,97,7,23,14,10,4
95,97,5,23,13,11,2
96,97,5,24,4,4,0
97,97,23,24,11,9,2
98,101,2,24,14,10,4
102,103,5,25,2,2,0
103,103,5,25,13,9,4
104,107,5,26,16,8,8
105,107,6,26,13,9,4
106,107,2,26,2,2,0
107,107,17,26,11,9,2
108,109,6,27,4,4,0
109,109,10,27,13,11,2
110,113,10,27,14,10,4
120,127,3,30,16,8,8
121,127,12,30,11,11,0
122,127,12,30,14,10,4
123,127,53,30,11,9,2
124,127,3,31,20,12,8
125,127,12,31,11,11,0
126,127,3,31,2,2,0
127,127,12,31,11,9,2
128,131,50,32,16,8,8
129,131,76,32,13,11,2
130,131,2,32,2,2,0
131,131,17,32,13,11,2
132,137,24,33,16,8,8
140,149,13,35,16,12,4
141,149,8,35,15,11,4
142,149,13,35,18,14,4
143,149,8,35,15,13,2
146,149,8,36,14,10,4
147,149,8,36,15,11,4
148,149,2,37,4,4,0
155,157,6,38,17,11,6
156,157,5,39,4,4,0
157,157,20,39,17,11,6
158,163,2,39,18,10,8
168,173,3,42,20,12,8
169,173,11,42,15,13,2
170,173,5,42,18,14,4
171,173,2,42,17,11,6
172,173,2,43,4,4,0
186,191,47,46,18,14,4
187,191,47,46,15,13,2
188,191,44,47,24,12,12
189,191,47,47,17,15,2
190,191,19,47,2,2,0
204,211,108,51,24,12,12
205,211,7,51,19,15,4
